time_start,time_end,FR,FL,BR,BL
0.0,0.1,2.387324,2.387324,2.387324,2.387324
0.1,0.2,2.387324,2.387324,2.387324,2.387324
0.2,0.3,2.387324,2.387324,2.387324,2.387324
0.3,0.4,2.387324,2.387324,2.387324,2.387324
0.4,0.5,2.387324,2.387324,2.387324,2.387324
0.5,0.6,2.387324,2.387324,2.387324,2.387324
0.6,0.7,2.387324,2.387324,2.387324,2.387324
0.7,0.8,2.387324,2.387324,2.387324,2.387324
0.8,0.9,2.387324,2.387324,2.387324,2.387324
0.9,1.0,2.387324,2.387324,2.387324,2.387324
1.0,1.1,2.387324,2.387324,2.387324,2.387324
1.1,1.2,2.387324,2.387324,2.387324,2.387324
1.2,1.3,2.387324,2.387324,2.387324,2.387324
1.3,1.4,2.387324,2.387324,2.387324,2.387324
1.4,1.5,2.387324,2.387324,2.387324,2.387324
1.5,1.6,2.387324,2.387324,2.387324,2.387324
1.6,1.7,1.095506,2.5,2.5,1.095506
1.7,1.8,0.324824,2.5,2.5,0.324824
1.8,1.9,0.324824,2.5,2.5,0.324824
1.9,2.0,0.324824,2.5,2.5,0.324824
2.0,2.1,0.324824,2.5,2.5,0.324824
2.1,2.2,0.324824,2.5,2.5,0.324824
2.2,2.3,0.324824,2.5,2.5,0.324824
2.3,2.4,0.324824,2.5,2.5,0.324824
2.4,2.5,0.324824,2.5,2.5,0.324824
2.5,2.6,0.324824,2.5,2.5,0.324824
2.6,2.7,0.324824,2.5,2.5,0.324824
2.7,2.8,0.324824,2.5,2.5,0.324824
2.8,2.9,0.324824,2.5,2.5,0.324824
2.9,3.0,1.260498,2.5,2.5,1.260498
3.0,3.1,1.260498,2.5,2.5,1.260498
3.1,3.2,1.260498,2.5,2.5,1.260498
3.2,3.3,1.260498,2.5,2.5,1.260498
3.3,3.4,1.260498,2.5,2.5,1.260498
3.4,3.5,1.260498,2.5,2.5,1.260498
3.5,3.6,1.260498,2.5,2.5,1.260498
3.6,3.7,1.260498,2.5,2.5,1.260498
3.7,3.8,1.260498,2.5,2.5,1.260498
3.8,3.9,1.260498,2.5,2.5,1.260498
3.9,4.0,1.260498,2.5,2.5,1.260498
4.0,4.1,1.260498,2.5,2.5,1.260498
4.1,4.2,1.260498,2.5,2.5,1.260498
4.2,4.3,1.260498,2.5,2.5,1.260498
4.3,4.4,1.260498,2.5,2.5,1.260498
4.4,4.5,1.260498,2.5,2.5,1.260498
4.5,4.6,1.260498,2.5,2.5,1.260498
4.6,4.7,1.260498,2.5,2.5,1.260498
4.7,4.8,0.738584,2.5,2.5,0.738584
4.8,4.9,0.738584,2.5,2.5,0.738584
4.9,5.0,0.738584,2.5,2.5,0.738584
5.0,5.1,0.738584,2.5,2.5,0.738584
5.1,5.2,0.738584,2.5,2.5,0.738584
5.2,5.3,0.738584,2.5,2.5,0.738584
5.3,5.4,0.738584,2.5,2.5,0.738584
5.4,5.5,0.738584,2.5,2.5,0.738584
5.5,5.6,0.738584,2.5,2.5,0.738584
5.6,5.7,0.738584,2.5,2.5,0.738584
5.7,5.8,0.738584,2.5,2.5,0.738584
5.8,5.9,0.738584,2.5,2.5,0.738584
5.9,6.0,0.738584,2.5,2.5,0.738584
6.0,6.1,0.738584,2.5,2.5,0.738584
6.1,6.2,0.738584,2.5,2.5,0.738584
6.2,6.3,0.738584,2.5,2.5,0.738584
6.3,6.4,0.738584,2.5,2.5,0.738584
6.4,6.5,0.738584,2.5,2.5,0.738584
6.5,6.6,0.738584,2.5,2.5,0.738584
6.6,6.7,0.738584,2.5,2.5,0.738584
6.7,6.8,0.738584,2.5,2.5,0.738584
6.8,6.9,0.738584,2.5,2.5,0.738584
6.9,7.0,0.738584,2.5,2.5,0.738584
7.0,7.1,0.738584,2.5,2.5,0.738584
7.1,7.2,0.738584,2.5,2.5,0.738584
7.2,7.3,0.738584,2.5,2.5,0.738584
7.3,7.4,0.738584,2.5,2.5,0.738584
7.4,7.5,0.738584,2.5,2.5,0.738584
7.5,7.550844,0.738584,2.5,2.5,0.738584
7.6,7.550844,0.0,0.0,0.0,0.0
